N_ait [m^-3],R_ait [m],GSD_ait [unitless],N_acc [m^-3],R_acc [m],GSD_acc [unitless],N_coa [m^-3],R_coa [m],GSD_coa [unitless],N_mcb [m^-3],R_mcb [m],GSD_mcb [unitless],temperature [K],pressure [Pa],updraft [m s^-1],ait_maf [unitless],acc_maf [unitless],coa_maf [unitless],mcb_maf [unitless],Nact [m^-3],Smax [%%],runtime_seconds [s]
1953700000.0,0.029658,1.59,1516900000.0,0.058718,1.4,403150.0,0.22079,2.0,1423000000.0,0.013733,1.3543,276.95,82044.0,0.85045,0.91612,0.66379,0.94319,1.0,1820800000.0,0.22368,0.72902
328280000.0,0.044263,1.59,1523500000.0,0.061689,1.4,1915300.0,0.74349,2.0,760650000.0,0.10448,1.354,254.03,98427.0,0.72048,0.27662,0.81471,0.93029,1.0,1913600000.0,0.17923,1.0946
1868300000.0,0.038567,1.59,1369100000.0,0.12293,1.4,5258600.0,0.68296,2.0,1887700000.0,0.12543,1.3892,257.06,91708.0,1.1042,0.9219,0.12642,0.94399,1.0,2560500000.0,0.097825,1.8232
447310000.0,0.016316,1.59,940360000.0,0.081213,1.4,3920500.0,0.82459,2.0,1008800000.0,0.060897,1.4018,254.13,58252.0,1.1117,0.80315,0.14148,0.96371,1.0,1701300000.0,0.27832,0.7707
1556100000.0,0.043125,1.59,1176600000.0,0.11792,1.4,384390.0,0.61847,2.0,525690000.0,0.053298,1.4657,282.59,88375.0,0.90828,0.6261,0.47148,0.95076,1.0,1862500000.0,0.13332,0.74546
419880000.0,0.015871,1.59,553780000.0,0.11665,1.4,962920.0,0.4657,2.0,1481300000.0,0.12216,1.5058,244.63,96594.0,0.075534,0.17393,0.19421,0.97158,1.0,541620000.0,0.031348,346.47
707690000.0,0.015736,1.59,1314300000.0,0.084187,1.4,1291800.0,0.80709,2.0,408510000.0,0.11228,1.3852,245.39,81146.0,0.76675,0.8184,0.78823,0.91784,1.0,1651200000.0,0.19739,0.68555
1141800000.0,0.020793,1.59,84843000.0,0.057912,1.4,5359100.0,0.37371,2.0,1146300000.0,0.10991,1.4465,276.65,56000.0,0.50953,0.88496,0.70311,0.93111,1.0,904200000.0,0.05451,1.4515
490380000.0,0.016058,1.59,1449100000.0,0.079349,1.4,4984900.0,0.76769,2.0,81779000.0,0.01925,1.502,289.07,67492.0,0.41337,0.20169,0.28344,0.97877,1.0,810130000.0,0.13174,0.48966
1943800000.0,0.039991,1.59,537690000.0,0.084739,1.4,2489500.0,0.92822,2.0,1756700000.0,0.085602,1.9015,258.9,58223.0,0.27542,0.88503,0.12969,0.91714,1.0,584320000.0,0.037363,14.269
1757200000.0,0.031451,1.59,788080000.0,0.07489,1.4,5153900.0,0.55005,2.0,1344700000.0,0.015117,1.4359,290.9,101080.0,0.98471,0.081797,0.57946,0.96397,1.0,859160000.0,0.23681,0.67238
433910000.0,0.047567,1.59,1334600000.0,0.056629,1.4,5819500.0,0.25774,2.0,1524600000.0,0.087416,1.7873,275.78,84584.0,1.1635,0.5268,0.75985,0.94821,1.0,1871200000.0,0.11766,0.63166
